hidden_units,n_layers,loss_train,loss_val,acc_train,acc_val
50,1,0.6038084864616394,0.6038477182388305,0.7627515017986297,0.7627041846513748
50,2,0.7129518181085587,0.6740686148405075,0.6934233069419861,0.7150211781263351
50,3,0.9470039010047913,0.9398508489131927,0.5674488604068756,0.571294617652893
100,1,0.5450756788253784,0.5451081067323684,0.7969666570425034,0.7969570636749268
100,2,0.6585544168949127,0.6182082295417786,0.7243361383676529,0.7465850055217743
100,3,0.9721764087677002,0.9722114264965057,0.562245997786522,0.5622141480445861
150,1,0.6718849748373031,0.6719419300556183,0.7298004269599915,0.7297912955284118
150,2,0.9231460869312287,0.9197195172309875,0.5625073075294494,0.5622141480445861
150,3,0.9716969162225724,0.9714132875204087,0.5622792720794678,0.5622141480445861
50,1,0.1131357591599226,0.11312216594815254,0.9893472999334335,0.9893526941537857
50,2,0.47367521077394487,0.40827327519655227,0.8065553218126297,0.8403508871793747
50,3,0.4340252950787544,0.36773655414581297,0.8171127676963806,0.8490955919027329
100,1,0.180806315690279,0.18076747059822082,0.9693057984113693,0.9693224430084229
100,2,0.18777271509170532,0.1258154187351465,0.9287805557250977,0.9592770785093307
100,3,0.5418623894453048,0.48338629454374316,0.7703017979860306,0.794228681921959
150,1,0.35638854205608367,0.35637711733579636,0.89563969373703,0.8956745326519012
150,2,0.6060969680547714,0.5596192985773086,0.7459080964326859,0.7665124148130417
150,3,0.9376736909151078,0.9351948916912078,0.5596329271793365,0.5596702933311463
50,1,0.04115120731294155,0.041141409426927567,0.9996388733386994,0.9996400475502014
50,2,0.27786198556423186,0.1852169968187809,0.9023487985134124,0.9526346057653428
50,3,0.8130932807922363,0.7783606439828873,0.6608435809612274,0.6803478538990021
100,1,0.054356709122657776,0.05434228479862213,0.9980138808488845,0.9980127066373825
100,2,0.3673615872859955,0.2929759815335274,0.858869144320488,0.9049939632415771
100,3,0.3954998776316643,0.31821910887956617,0.8573577165603637,0.9069752037525177
150,1,0.09201839342713355,0.09200142845511436,0.9929583638906478,0.9929612845182418
150,2,0.25488539412617683,0.21174985840916632,0.9040353536605835,0.9170689672231674
150,3,0.9720824152231217,0.9712743639945984,0.5596283942461013,0.5597489416599274
